gDBWS - Graphic data export Powder v3.beta  -  21/12/00 10:40:00 AM
2 theta,   I obs,    I calc,  I obs - I calc 
 27.98    458.0      449.0      9.0    
 28.0     659.0      564.0      95.0   
 28.02    858.0      810.0      48.0   
 28.04    1422.0     1317.0     105.0  
 28.06    2347.0     2129.0     218.0  
 28.08    2760.0     2875.0     115.0  
 28.1     2658.0     2754.0     -96.0  
 28.12    2132.0     2176.0     -44.0  
 28.14    1711.0     1913.0     202.0  
 28.16    1585.0     1731.0     146.0  
 28.18    1259.0     1242.0     17.0   
 28.2     787.0      765.0      22.0   
 28.22    548.0      485.0      63.0   
 28.24    469.0      355.0      114.0  
 28.26    470.0      298.0      172.0  
 28.28    394.0      270.0      124.0  
 28.3     329.0      253.0      76.0   
 28.32    309.0      243.0      66.0   
 28.34    293.0      235.0      58.0   
 28.36    260.0      229.0      31.0   
 28.38    266.0      225.0      41.0   
 28.4     236.0      221.0      15.0   
 28.42    251.0      218.0      33.0   
 28.44    219.0      216.0      3.0    
 28.46    247.0      214.0      33.0   
 28.48    246.0      221.0      25.0   
 28.5     249.0      220.0      29.0   
 28.52    208.0      219.0      -11.0  
 28.54    251.0      223.0      28.0   
 28.56    237.0      224.0      13.0   
 28.58    266.0      224.0      42.0   
 28.6     248.0      225.0      23.0   
 28.62    208.0      227.0      -19.0  
 28.64    248.0      228.0      20.0   
 28.66    216.0      231.0      -15.0  
 28.68    245.0      233.0      12.0   
 28.7     257.0      232.0      25.0   
 28.72    286.0      236.0      50.0   
 28.74    264.0      242.0      22.0   
 28.76    283.0      249.0      34.0   
 28.78    280.0      255.0      25.0   
 28.8     309.0      265.0      44.0   
 28.82    309.0      279.0      30.0   
 28.84    300.0      296.0      4.0    
 28.86    346.0      318.0      28.0   
 28.88    357.0      348.0      9.0    
 28.9     388.0      389.0      -1.0   
 28.92    425.0      448.0      -23.0  
 28.94    529.0      541.0      -12.0  
 28.96    771.0      718.0      53.0   
 28.98    1127.0     1101.0     26.0   
 29.0     2062.0     1859.0     203.0  
 29.02    3345.0     2952.0     393.0  
 29.04    3677.0     3694.0     -17.0  
 29.06    3349.0     3232.0     117.0  
 29.08    2435.0     2533.0     -98.0  
 29.1     2050.0     2308.0     258.0  
 29.12    1977.0     2068.0     -91.0  
 29.14    1466.0     1432.0     34.0   
 29.16    800.0      857.0      -57.0  
 29.18    420.0      531.0      111.0  
 29.2     389.0      381.0      8.0    
 29.22    295.0      316.0      -21.0  
 29.24    294.0      283.0      11.0   
 29.26    282.0      263.0      19.0   
 29.28    285.0      250.0      35.0   
 29.3     260.0      240.0      20.0   
 29.32    260.0      233.0      27.0   
 29.34    240.0      227.0      13.0   
 29.36    248.0      223.0      25.0   
 29.38    216.0      219.0      -3.0   
 29.4     197.0      216.0      -19.0  
 29.42    221.0      213.0      8.0    
 29.44    207.0      211.0      -4.0   
